TEMP,HUMIDITY,CLOUD_COVER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JUN_SEP,ANNUAL,FLOOD
29.8,73.0,38.0,18.9,22.2,4.7,32.2,49.7,389.9,324.7,429.8,138.8,67.6,34.8,23.9,1283.1,1537.2,1
27.7,80.0,47.0,32.1,54.8,31.7,66.3,63.8,241.9,306.2,238.0,203.0,100.3,36.2,57.3,989.2,1431.7,1
28.4,87.0,35.0,33.1,32.8,39.3,66.1,82.5,395.4,297.5,368.3,251.3,139.3,58.4,42.0,1312.5,1806.2,1
27.7,71.0,43.0,22.2,27.4,8.1,24.9,57.1,372.6,398.6,317.4,130.2,51.1,46.1,36.7,1218.8,1492.3,1
33.1,66.0,30.0,0.0,0.0,0.0,23.3,36.4,222.6,295.1,189.9,175.6,38.9,0.0,0.0,883.2,981.9,0
29.0,73.0,38.0,10.9,20.5,24.8,35.7,55.1,241.4,274.1,280.6,214.9,124.0,0.0,21.3,1011.0,1303.3,1
26.7,89.0,37.0,52.2,54.2,44.3,74.9,116.0,253.1,326.1,316.6,300.3,127.3,60.7,42.8,1196.2,1768.6,1
30.8,69.0,40.0,11.0,0.0,0.3,20.1,56.8,248.8,401.3,358.3,251.6,87.4,22.8,15.6,1260.1,1474.1,1
26.3,84.0,35.0,33.7,35.3,39.3,67.0,89.6,199.2,312.5,265.2,255.5,159.9,55.3,36.3,1032.5,1549.0,1
29.5,84.0,37.0,32.5,34.5,50.8,52.1,93.4,276.0,288.8,295.0,122.9,116.4,74.3,42.4,982.7,1479.0,0
24.7,71.0,45.0,24.0,17.9,11.1,44.3,79.9,348.3,274.9,160.5,247.4,78.3,31.4,18.5,1031.2,1336.6,1
26.1,77.0,35.0,15.2,30.0,31.4,25.0,70.7,227.6,278.3,391.8,232.9,84.1,20.9,20.2,1130.6,1428.2,1
29.4,84.0,25.0,17.3,11.4,28.8,21.6,78.8,245.4,272.9,226.5,210.1,60.2,14.6,10.1,954.9,1197.7,0
30.6,72.0,52.0,31.8,32.3,52.3,64.1,74.9,187.2,254.0,329.8,142.9,142.2,53.2,21.6,914.0,1386.4,1
29.4,73.0,49.0,31.1,36.2,51.8,47.3,115.6,298.2,260.1,301.7,182.6,122.0,53.4,43.6,1042.7,1543.6,0
28.7,71.0,28.0,0.0,0.0,19.4,0.2,40.7,249.9,235.6,259.7,122.9,93.5,0.0,0.0,868.2,1022.0,0
28.3,68.0,44.0,12.3,14.5,16.0,24.9,41.4,261.1,343.1,334.6,106.9,117.9,36.9,16.5,1045.7,1326.1,1
25.7,70.0,34.0,0.0,11.3,7.1,27.4,57.8,232.1,271.1,370.9,183.9,63.6,19.6,4.7,1058.0,1249.5,0
27.4,67.0,40.0,0.0,10.4,6.0,15.7,41.2,232.1,285.8,292.8,152.3,54.6,18.7,8.8,963.0,1118.4,0
28.0,74.0,40.0,20.7,4.2,25.6,37.2,86.9,291.2,389.8,331.6,321.7,92.3,22.8,19.3,1334.3,1643.3,1
31.3,69.0,36.0,2.1,0.0,22.7,20.6,99.6,243.8,373.1,294.5,177.8,53.6,9.6,5.6,1089.2,1303.0,0
29.8,75.0,32.0,12.7,4.9,0.0,3.4,45.7,268.7,284.5,340.4,249.6,85.5,0.0,13.2,1143.2,1308.6,0
25.1,65.0,32.0,0.0,0.0,0.0,0.0,46.0,241.2,241.5,232.6,98.8,87.7,2.2,0.0,814.1,950.1,0
29.7,76.0,31.0,10.1,0.0,27.6,30.8,26.7,313.6,249.9,344.2,167.9,77.6,22.1,23.7,1075.6,1294.2,0
28.2,79.0,31.0,17.8,36.8,30.6,24.6,77.5,295.6,350.0,352.8,202.8,92.1,30.7,18.3,1201.2,1529.5,1
27.5,62.0,37.0,0.0,0.0,0.0,19.5,24.1,242.4,269.5,324.6,130.9,59.5,7.9,0.0,967.4,1078.3,0
30.3,76.0,32.0,2.0,12.8,24.1,40.2,51.1,337.1,280.4,245.3,174.6,103.7,28.2,4.3,1037.4,1303.9,1
31.3,81.0,43.0,40.6,51.9,49.8,68.0,72.4,307.5,285.6,304.6,214.6,97.7,53.1,45.9,1112.3,1591.7,1
31.0,67.0,50.0,24.1,42.9,43.2,63.0,90.8,338.0,270.0,310.1,195.7,41.3,36.8,29.5,1113.8,1485.5,1
27.2,84.0,33.0,28.1,38.0,35.7,47.0,103.1,306.4,342.2,223.5,296.5,114.8,26.1,29.5,1168.6,1590.9,1
28.3,77.0,40.0,8.5,35.8,42.5,53.0,80.7,168.9,241.3,392.7,227.2,124.9,33.2,32.6,1030.1,1441.2,0
29.7,70.0,42.0,14.7,17.4,46.8,26.4,51.1,330.2,368.1,287.7,220.0,99.6,29.0,14.1,1205.9,1505.0,1
31.1,74.0,42.0,39.9,24.1,35.2,71.6,109.0,274.6,285.2,313.7,231.5,81.2,28.4,30.6,1105.0,1524.9,1
27.9,77.0,39.0,20.5,22.6,30.9,67.2,63.4,265.5,309.4,264.9,236.0,70.0,48.7,33.7,1075.9,1432.9,1
28.6,74.0,44.0,20.0,22.2,40.0,45.9,37.6,286.3,240.6,223.8,207.1,113.2,32.9,36.0,957.8,1305.5,0
26.6,77.0,42.0,31.8,26.3,32.1,53.4,93.0,254.8,323.1,268.8,199.4,107.3,46.4,32.7,1046.0,1469.1,0
26.4,68.0,,0.0,0.0,14.7,20.1,16.7,241.3,259.1,271.5,176.3,55.7,0.2,0.0,948.2,1055.6,0
30.8,75.0,45.0,39.3,32.2,38.6,48.0,104.6,242.2,321.8,343.9,266.9,150.4,53.8,27.9,1174.8,1669.5,1
32.0,66.0,45.0,0.0,0.0,14.3,22.1,57.4,325.1,393.3,294.4,245.7,61.3,35.8,17.8,1258.5,1467.1,1
28.8,73.0,32.0,7.9,6.5,0.6,32.5,69.1,240.8,307.7,297.1,176.2,121.4,25.3,24.6,1021.7,1309.6,1
31.2,69.0,38.0,8.7,6.7,22.0,24.9,87.0,228.0,251.3,259.5,223.6,79.8,0.0,4.3,962.3,1195.7,0
29.8,70.0,43.0,14.1,19.4,30.9,37.4,46.0,209.3,267.5,319.0,191.4,44.3,44.5,21.8,987.3,1245.7,0
27.6,81.0,36.0,29.5,25.6,28.8,36.8,70.5,286.6,357.5,387.8,213.3,97.3,60.1,25.4,1245.2,1619.2,1
29.8,81.0,47.0,54.8,74.2,59.4,46.0,100.1,301.9,419.5,362.5,210.3,145.6,55.8,41.8,1294.2,1871.9,1
32.4,78.0,57.0,65.0,71.9,49.9,80.8,143.8,324.4,369.9,380.0,234.8,123.9,75.8,55.6,1309.1,1975.7,1
28.9,67.0,32.0,0.0,0.0,0.0,19.7,30.6,177.3,325.1,280.9,234.2,26.9,0.0,0.0,1017.4,1094.7,0
32.4,72.0,27.0,0.0,0.0,2.3,8.1,33.9,147.7,322.4,178.6,180.0,61.7,0.0,4.6,828.7,939.3,0
23.2,81.0,40.0,33.5,32.1,58.1,71.2,98.6,313.4,414.1,248.4,225.1,87.6,40.1,19.2,1201.0,1641.4,1
30.8,75.0,44.0,28.6,22.9,27.3,39.6,71.5,354.7,206.0,329.4,147.9,115.3,36.5,28.9,1037.9,1408.4,0
29.2,88.0,36.0,42.8,34.5,36.4,49.5,100.3,230.8,377.2,316.6,213.3,136.5,52.9,35.8,1137.8,1626.6,1
28.3,76.0,50.0,39.8,47.5,39.0,60.2,65.0,373.4,395.0,341.5,215.1,89.6,44.5,36.9,1325.1,1747.6,1
29.2,75.0,27.0,6.9,0.0,0.0,16.4,96.7,258.0,212.1,369.6,145.1,54.8,3.6,11.4,984.8,1174.6,0
24.6,72.0,44.0,20.7,32.1,41.8,50.6,49.4,266.0,263.3,338.5,207.4,115.3,36.3,26.0,1075.2,1447.5,1
28.5,75.0,33.0,0.0,19.2,30.7,18.9,56.8,231.3,252.2,356.2,173.9,61.7,14.0,3.5,1013.6,1218.3,0
29.8,73.0,52.0,34.9,52.0,48.2,74.4,92.4,206.9,289.3,318.5,226.6,85.9,59.5,36.3,1041.2,1524.8,0
32.3,78.0,54.0,54.0,48.8,71.8,96.2,145.9,351.9,318.7,280.8,243.1,98.1,75.8,49.5,1194.5,1834.5,1
27.9,80.0,32.0,27.2,24.2,25.7,36.9,45.9,219.7,327.0,289.0,159.4,101.2,61.0,20.1,995.1,1337.4,0
27.2,,34.0,1.6,4.9,2.8,31.8,91.5,198.9,343.7,225.1,163.9,79.5,25.3,1.2,931.6,1170.3,0
27.9,66.0,45.0,3.2,9.2,13.7,17.3,80.1,309.6,369.9,375.4,198.5,67.9,27.9,28.2,1253.3,1500.8,1
31.0,63.0,35.0,5.3,0.0,0.0,18.3,48.7,126.8,230.1,306.2,223.7,60.5,0.0,0.0,886.9,1019.8,0
29.7,77.0,38.0,23.7,37.5,13.1,54.2,56.9,182.8,265.9,326.8,218.2,134.8,40.1,24.3,993.7,1378.3,0
27.8,67.0,38.0,9.8,4.4,9.2,30.0,66.0,243.6,373.5,346.3,154.8,50.2,18.5,0.1,1118.2,1306.5,0
30.1,61.0,23.0,0.0,0.0,0.0,0.0,0.0,220.5,293.2,117.2,162.4,0.0,0.0,0.0,793.3,793.3,0
29.2,76.0,38.0,23.7,15.8,33.9,3.9,99.7,291.1,319.4,328.5,281.2,105.8,43.8,25.2,1220.2,1572.0,1
31.1,89.0,32.0,43.9,30.4,45.1,49.5,72.8,265.6,360.6,236.2,263.5,109.4,35.4,44.9,1125.8,1557.4,1
27.5,74.0,34.0,17.5,6.2,13.2,20.3,60.5,392.0,301.0,282.4,217.4,65.0,19.9,13.6,1192.8,1409.1,1
28.3,79.0,50.0,56.1,49.6,45.9,55.9,91.5,280.1,374.1,304.5,265.3,138.9,69.3,43.1,1223.9,1774.1,1
28.1,74.0,28.0,4.0,0.0,4.7,18.5,32.2,229.3,271.8,310.4,246.8,93.0,8.5,9.7,1058.3,1229.0,0
25.8,73.0,45.0,22.9,28.3,39.8,40.4,95.2,226.6,336.5,313.6,258.8,45.2,37.9,34.8,1135.5,1480.0,1
29.7,80.0,36.0,20.0,14.1,20.2,34.7,90.3,276.4,229.0,377.6,235.1,83.3,37.9,34.9,1118.1,1453.6,1
29.6,72.0,36.0,9.7,1.0,14.9,14.3,86.2,285.8,260.7,247.1,240.1,139.9,12.0,20.1,1033.7,1331.8,0
29.0,76.0,44.0,37.7,38.6,39.5,41.6,49.6,341.4,284.6,346.3,166.5,119.8,59.3,36.5,1138.8,1561.4,1
28.5,76.0,41.0,23.0,32.6,24.6,58.3,101.1,187.9,297.3,309.2,142.2,116.7,27.6,39.6,936.6,1360.2,0
25.9,70.0,43.0,23.7,15.1,16.3,27.3,120.3,246.7,254.6,195.4,207.3,119.5,34.0,21.2,903.9,1281.3,0
28.1,80.0,46.0,54.2,37.5,51.9,56.4,88.6,312.2,305.6,264.3,230.7,118.0,62.6,43.8,1112.8,1625.8,1
28.2,73.0,35.0,0.1,2.2,3.1,21.9,100.3,284.7,211.5,273.7,167.9,102.3,11.0,10.3,937.9,1189.1,1
27.2,69.0,33.0,0.0,0.0,5.5,19.1,44.7,240.4,322.9,334.5,217.2,88.0,10.9,0.0,1115.0,1283.1,0
28.6,77.0,29.0,4.3,13.6,3.4,30.9,33.0,280.2,295.4,307.3,106.6,93.9,9.5,4.2,989.5,1182.3,0
29.9,69.0,31.0,0.0,1.8,9.0,0.0,40.3,191.9,184.1,198.7,152.3,58.3,23.1,7.5,727.0,867.1,0
33.1,74.0,62.0,54.0,57.2,88.6,90.5,134.2,388.9,303.1,325.1,221.4,137.5,59.5,63.6,1238.4,1923.5,1
29.4,74.0,48.0,43.8,26.8,31.4,70.2,71.2,332.6,348.2,425.0,144.4,93.3,40.2,36.8,1250.2,1663.8,1
29.6,81.0,27.0,14.0,15.7,22.9,18.0,53.6,181.6,273.0,292.1,262.9,85.9,10.9,16.7,1009.6,1247.4,0
28.8,77.0,27.0,2.1,0.0,1.5,10.1,68.7,187.7,255.0,257.8,125.6,47.6,0.5,28.6,826.1,985.3,0
24.8,74.0,42.0,10.7,21.1,39.6,36.8,77.3,209.6,312.7,325.7,180.7,77.4,56.3,16.1,1028.8,1364.1,1
28.9,79.0,42.0,22.7,46.8,27.5,44.1,99.9,315.5,348.8,352.5,259.1,101.1,54.7,29.4,1275.8,1702.2,1
29.1,82.0,42.0,42.0,49.4,51.6,62.5,99.6,214.1,248.6,288.3,253.9,91.2,56.5,31.8,1005.0,1489.5,1
34.4,77.0,36.0,0.9,22.3,16.3,14.6,82.6,244.8,346.0,322.1,153.1,80.4,25.1,19.1,1066.1,1327.4,1
28.6,74.0,37.0,21.3,6.0,18.1,19.8,59.6,283.2,260.2,269.1,228.9,84.1,39.1,18.2,1041.4,1307.6,1
29.7,66.0,41.0,1.5,7.5,0.0,41.3,62.4,244.2,296.7,319.5,200.8,87.9,7.9,2.1,1061.2,1271.8,0
28.9,68.0,39.0,29.5,15.1,18.8,12.5,40.1,262.8,296.5,288.4,293.6,102.3,28.1,2.3,1141.3,1390.1,0
26.4,72.0,20.0,0.0,0.0,0.0,13.1,59.0,164.6,241.6,281.2,181.4,41.6,0.0,0.0,868.7,982.4,0
31.5,70.0,36.0,1.1,16.4,15.1,26.9,44.9,280.3,236.2,233.6,181.2,111.0,9.9,1.6,931.3,1158.2,1
30.7,73.0,31.0,0.0,13.5,3.8,0.0,77.8,211.5,278.1,227.6,146.7,98.7,24.3,5.7,863.8,1087.5,0
30.7,74.0,39.0,24.8,33.1,22.7,44.4,67.1,243.9,409.3,346.6,168.3,104.4,42.2,28.7,1168.2,1535.6,1
27.0,77.0,62.0,78.4,70.2,73.3,83.4,123.8,322.9,278.1,335.2,212.6,143.6,87.0,73.2,1148.8,1881.8,1
32.1,74.0,41.0,7.3,28.1,19.8,34.9,65.5,271.1,416.9,311.9,267.1,103.4,22.8,30.4,1267.0,1579.3,1
25.9,77.0,35.0,1.9,30.5,25.3,39.1,50.9,262.5,295.6,273.4,202.0,120.9,25.8,27.9,1033.6,1355.9,1
30.3,74.0,45.0,22.6,34.2,49.9,53.3,47.7,231.3,324.7,354.7,238.0,133.2,44.5,32.9,1148.8,1567.0,1
33.8,62.0,42.0,0.5,0.0,0.0,24.3,29.7,224.3,225.6,235.5,248.9,104.2,0.6,0.0,934.4,1093.6,0
26.8,68.0,41.0,11.2,6.6,25.9,41.3,55.7,252.3,255.9,274.3,86.1,83.2,38.7,4.0,868.6,1135.3,0
27.8,73.0,43.0,30.4,26.7,43.8,46.7,81.0,191.2,286.6,342.4,264.3,110.7,8.0,21.7,1084.5,1453.4,0
29.2,67.0,,18.8,21.1,27.2,31.9,103.6,248.0,260.7,371.4,215.9,137.0,34.1,27.2,1095.9,1496.8,1
27.9,78.0,29.0,0.0,9.5,0.0,21.9,53.7,273.9,290.1,252.2,212.2,67.0,16.5,16.5,1028.4,1213.4,1
25.6,83.0,42.0,48.9,53.8,52.0,97.3,79.4,216.7,312.6,430.7,189.7,109.0,22.9,47.8,1149.7,1660.7,1
29.2,81.0,31.0,11.2,3.3,19.3,46.5,43.9,326.4,423.8,311.0,168.8,93.2,16.0,26.4,1230.0,1489.9,1
26.7,73.0,42.0,3.9,35.3,45.7,68.4,84.6,334.8,245.0,234.5,227.0,117.5,42.5,13.7,1041.4,1452.9,1
30.0,83.0,31.0,23.4,34.2,29.5,58.9,104.9,198.7,323.4,318.6,314.5,120.1,37.6,36.7,1155.2,1600.4,1
27.0,75.0,35.0,18.1,11.1,10.8,34.7,92.1,331.5,321.7,264.6,241.9,81.0,45.7,11.4,1159.7,1464.6,1
32.4,72.0,36.0,6.0,14.3,2.5,30.6,76.2,244.1,237.8,307.2,248.9,44.3,40.5,1.2,1038.0,1253.8,0
27.3,70.0,46.0,16.9,23.6,38.5,40.2,88.4,288.6,356.8,293.1,197.0,101.8,40.8,20.1,1135.5,1505.7,1
28.3,72.0,45.0,21.9,36.0,24.5,22.3,112.2,240.9,294.3,302.5,181.2,75.2,42.0,46.1,1018.9,1399.1,1
30.8,72.0,28.0,0.0,3.5,0.0,12.8,54.2,288.4,138.1,214.7,142.5,30.4,8.4,0.0,783.6,892.9,0
26.3,75.0,38.0,6.4,9.0,33.8,51.7,85.1,284.5,351.8,349.6,180.2,60.6,0.3,17.6,1166.2,1430.7,1
29.5,75.0,32.0,0.7,14.1,8.6,19.2,55.0,206.6,234.4,214.3,99.0,89.6,4.7,7.9,754.4,954.0,0
31.9,74.0,28.0,1.2,0.0,3.5,21.9,24.8,177.9,229.1,207.7,149.4,106.0,13.2,0.0,764.1,934.8,0
25.5,77.0,36.0,20.6,21.7,24.8,48.2,59.3,182.7,354.3,314.3,177.8,94.0,40.4,14.7,1029.0,1352.8,1
29.4,81.0,36.0,28.1,24.0,40.6,35.9,81.6,282.1,301.0,394.8,203.9,107.1,45.3,30.9,1181.8,1575.3,1
29.6,80.0,57.0,54.4,79.4,75.3,77.0,118.6,338.9,412.5,316.9,253.3,167.0,66.7,74.0,1321.6,2034.0,1
30.7,65.0,41.0,0.0,11.9,5.4,8.4,94.1,281.4,368.2,316.3,201.9,37.0,26.8,6.1,1167.8,1357.6,1
26.3,59.0,27.0,0.0,0.0,0.0,0.0,18.8,200.7,218.5,299.5,146.5,50.2,0.0,0.0,865.2,934.2,0
26.1,80.0,33.0,20.6,11.5,22.5,23.7,97.8,200.6,361.8,341.5,178.0,93.9,45.5,19.4,1081.8,1416.8,1
30.1,66.0,46.0,23.2,11.7,4.0,21.0,58.1,219.3,261.5,268.7,108.4,101.0,38.7,10.4,858.0,1126.0,0
29.7,73.0,55.0,31.6,49.9,53.0,80.4,92.2,351.8,472.4,255.1,202.5,106.3,51.7,46.8,1281.8,1793.7,1
29.6,67.0,25.0,0.0,0.0,2.1,0.0,4.6,194.5,229.6,123.2,117.4,30.8,4.1,0.0,664.8,706.4,0
29.8,63.0,23.0,0.0,0.0,0.0,0.0,4.0,216.7,320.4,223.6,169.8,42.3,0.0,0.0,930.4,976.6,0
27.5,77.0,53.0,58.6,57.9,47.9,62.6,114.1,234.4,394.2,391.9,274.5,164.8,69.7,50.9,1295.1,1921.7,1
29.5,79.0,41.0,27.8,42.2,29.7,65.5,86.6,294.9,345.4,241.2,258.6,127.9,50.8,48.6,1140.1,1619.2,1
29.6,71.0,31.0,0.0,1.4,10.0,31.5,69.7,215.6,250.6,311.4,214.9,58.1,9.3,5.8,992.5,1178.4,0
27.4,58.0,42.0,0.0,0.0,0.0,17.4,45.6,289.6,272.9,206.9,166.0,28.5,0.0,0.0,935.4,1026.8,0
33.1,71.0,17.0,0.0,0.0,0.0,0.0,18.6,258.1,136.4,251.8,132.1,3.5,0.0,0.0,778.4,800.5,0
30.0,76.0,38.0,35.7,30.9,17.2,36.6,117.4,237.1,327.9,335.5,170.8,127.3,46.2,26.3,1071.2,1508.9,1
26.4,65.0,41.0,2.8,3.2,8.5,6.3,53.7,238.6,316.6,237.3,117.8,51.7,10.3,0.0,910.3,1046.9,0
30.4,75.0,45.0,29.6,36.8,21.2,73.1,108.1,244.5,332.8,314.7,259.4,96.7,55.5,39.5,1151.4,1611.8,1
26.9,74.0,30.0,3.2,1.1,9.0,11.5,47.6,167.5,117.2,251.5,177.7,108.6,24.4,0.0,714.0,919.4,0
30.7,77.0,39.0,23.3,18.2,39.1,51.4,92.6,221.2,242.5,339.3,152.3,58.1,34.8,30.0,955.3,,0
31.5,75.0,31.0,0.0,6.6,0.0,37.3,78.2,260.5,254.7,293.2,152.4,116.9,36.3,0.0,960.9,1236.1,0
27.2,68.0,40.0,12.0,10.9,0.0,18.7,64.6,268.3,317.9,283.7,151.4,74.1,16.1,4.7,1021.3,1222.3,0
31.1,81.0,31.0,19.6,15.6,40.6,50.3,25.7,271.0,330.2,383.2,204.7,64.1,50.9,17.9,1189.1,1473.7,0
29.9,73.0,35.0,7.5,8.5,8.3,36.6,62.8,235.8,292.2,320.8,240.4,76.2,27.6,4.2,1089.2,1321.0,1
30.8,74.0,30.0,0.0,0.0,19.0,41.3,80.2,296.9,333.7,235.6,169.9,57.5,15.4,0.8,1036.1,1250.4,0
33.2,68.0,43.0,21.2,22.8,16.3,25.2,76.3,259.3,244.2,280.8,94.4,96.8,15.1,22.1,878.8,1174.6,0
28.5,71.0,45.0,26.3,21.6,26.4,25.6,84.9,304.7,352.6,291.6,197.5,79.8,34.9,18.3,1146.4,1464.2,1
27.3,69.0,36.0,0.0,15.0,11.8,14.3,21.0,147.8,323.9,280.1,178.4,27.6,13.0,7.8,930.2,1040.6,0
27.0,73.0,38.0,20.8,28.0,11.0,35.3,53.4,42.1,330.5,434.2,187.7,82.3,12.7,8.1,994.4,1246.0,0
27.2,84.0,26.0,11.4,17.8,23.7,36.1,78.6,276.0,299.5,311.9,172.2,56.5,27.8,16.9,1059.6,1328.3,1
28.8,66.0,36.0,0.0,0.0,0.0,9.1,57.0,160.4,398.6,150.7,188.6,73.9,0.0,0.0,898.4,1038.4,0
29.8,64.0,38.0,0.0,0.0,0.0,0.0,72.3,226.3,317.6,236.5,181.0,38.3,15.0,0.0,961.4,1087.0,0
29.6,83.0,59.0,58.4,63.8,83.0,98.2,124.7,301.0,309.5,235.5,256.5,135.4,103.3,65.1,1102.5,1834.4,1
30.8,73.0,29.0,0.4,0.0,1.0,40.3,59.7,328.9,306.5,252.5,200.2,76.2,0.0,3.5,1088.0,1269.1,0
29.0,70.0,50.0,13.2,41.8,33.2,53.4,83.1,294.8,367.9,187.5,193.5,97.5,63.3,39.8,1043.7,1469.1,1
32.2,80.0,46.0,32.8,46.5,37.5,69.9,77.9,296.7,302.3,267.0,205.7,123.9,56.1,45.0,1071.8,1561.2,1
28.4,70.0,,0.0,15.9,32.7,36.7,19.7,300.8,370.2,196.6,256.9,101.8,13.1,9.1,1124.5,1353.5,1
35.0,85.0,52.0,63.7,49.6,80.2,89.2,128.0,329.7,382.3,361.7,274.6,110.5,88.5,68.6,1348.2,2026.5,1
30.4,78.0,41.0,28.0,22.6,45.8,60.4,87.7,249.0,183.7,304.2,251.4,102.6,38.8,32.6,988.3,1406.9,0
27.1,71.0,41.0,11.2,23.9,17.7,38.5,56.4,317.7,326.8,306.4,254.0,5.6,27.8,18.7,1204.9,1404.8,1
26.6,87.0,38.0,35.3,48.9,33.3,59.8,66.2,227.6,314.2,312.5,252.3,124.8,53.7,26.4,1106.6,1555.0,1
30.1,70.0,48.0,14.8,26.0,50.7,34.6,91.8,287.0,351.4,218.3,251.0,91.7,29.4,18.6,1107.7,1465.5,1
28.5,78.0,47.0,43.7,47.5,46.4,57.0,89.7,199.9,391.7,344.8,153.9,90.4,63.7,36.2,1090.3,1564.9,1
30.6,,33.0,6.0,26.5,9.9,34.2,76.5,266.6,317.1,396.9,204.6,93.3,22.0,14.6,1185.2,1468.2,1
30.0,82.0,27.0,15.3,14.0,24.0,29.0,105.1,268.4,407.7,311.5,189.6,117.1,10.6,17.3,1177.2,1509.6,1
28.8,83.0,36.0,24.1,34.8,49.9,55.0,43.4,368.4,315.5,281.5,291.7,94.3,52.8,39.3,1257.1,1650.6,1
27.1,74.0,32.0,5.6,8.7,11.0,29.5,45.2,163.1,336.7,196.4,230.9,55.6,4.7,9.3,927.1,1096.7,0
25.7,69.0,37.0,12.6,24.3,22.0,32.2,53.0,214.2,345.5,224.5,158.8,81.3,3.4,0.0,943.0,1171.9,0
28.0,77.0,48.0,44.3,25.8,57.4,75.0,123.7,329.8,328.8,340.9,241.4,81.2,68.9,54.2,1240.9,1771.4,1
30.9,70.0,34.0,0.0,7.5,0.0,19.9,21.3,262.4,340.7,336.2,191.5,57.5,0.0,12.2,1131.0,1249.3,0
29.5,86.0,38.0,43.5,43.5,41.7,45.7,135.1,296.3,300.7,331.5,246.8,147.0,28.6,34.3,1175.4,1694.7,1
