Temp,Humidity,Cloud Cover,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,avgjune,sub,flood
26.7,60.7,7.0,1274.6,24.4,19.6,1147.2,83.4,266.3,Vidarbha,1
29.2,74.9,6.0,931.1,8.4,60.5,850.8,11.4,203.5,East Rajasthan,0
27.6,58.3,7.0,1442.8,22.4,117.0,1260.6,42.8,313.2,Bihar,1
22.3,53.4,6.0,1075.7,22.6,90.7,902.6,59.8,217.9,Coastal Karnataka,0
28.3,62.5,2.8,1113.8,10.0,109.3,917.4,77.1,225.0,Kerala,0
29.1,80.3,4.3,1070.6,23.0,71.7,820.3,155.6,211.8,Konkan & Goa,0
29.0,81.4,3.4,1300.7,10.9,95.0,1105.3,89.5,272.9,Coastal Andhra Pradesh,1
30.8,76.2,7.7,872.2,13.9,38.3,773.6,46.4,192.1,Assam & Meghalaya,0
29.9,78.7,2.6,1332.1,9.7,40.7,1192.9,88.8,264.0,Coastal Karnataka,1
28.6,76.2,6.8,626.3,0.0,0.0,560.4,65.9,147.9,Bihar,0
26.8,62.3,6.8,781.1,22.2,95.6,570.3,93.0,140.8,Konkan & Goa,0
21.2,75.2,8.0,1344.4,28.8,106.2,1106.2,103.2,308.8,Coastal Karnataka,1
28.5,79.6,4.2,1072.9,27.7,43.4,873.4,128.4,199.6,Bihar,0
27.7,79.1,6.4,927.5,32.3,52.4,763.8,79.0,154.8,Gangetic West Bengal,0
28.0,84.3,8.0,1374.9,24.9,37.4,1167.0,145.6,304.1,Gangetic West Bengal,1
22.5,78.5,3.8,917.6,12.0,71.5,717.8,116.3,186.4,Vidarbha,1
23.2,74.2,1.9,1017.9,32.6,93.7,839.9,51.7,189.8,Coastal Karnataka,0
30.7,82.8,1.2,1495.9,0.0,7.7,1319.8,168.4,299.4,Gangetic West Bengal,1
26.9,69.7,6.4,1533.6,6.5,72.3,5460.3105666471,93.1,371.2,Bihar,1
29.4,59.4,1.2,1475.5,5.5,51.7,1371.7,46.6,371.2,Vidarbha,1
27.1,68.0,4.3,1061.1,36.2,63.4,815.4,146.1,154.1,Bihar,0
27.1,61.1,5.9,1540.2,34.1,73.8,1269.2,163.1,308.1,Vidarbha,1
30.3,61.9,5.4,775.7,27.3,54.4,615.3,78.7,187.1,Coastal Karnataka,0
25.2,68.3,5.9,780.8,36.1,56.9,627.9,59.9,147.5,Konkan & Goa,0
27.3,60.5,5.4,328.4,6.8,53.6,194.9,73.1,38.9,Kerala,0
25.4,66.3,7.6,1624.8,25.2,89.1,1401.9,108.6,344.8,Madhya Maharashtra,1
25.5,47.3,3.1,862.6,18.1,72.6,640.8,131.1,137.8,Konkan & Goa,0
25.9,72.6,3.6,1064.1,32.7,66.6,862.0,102.8,181.4,East Rajasthan,1
27.8,70.0,3.5,751.2,18.3,21.9,626.9,84.1,177.8,Bihar,0
25.3,60.2,6.7,1311.2,14.2,48.6,1108.5,139.9,240.3,East Rajasthan,0
31.4,77.9,6.8,969.9,28.1,87.0,787.3,67.5,201.8,Konkan & Goa,0
23.9,81.3,5.9,724.0,33.1,61.1,508.6,121.2,144.9,Vidarbha,0
26.3,50.7,7.4,1190.8,10.0,79.8,1032.5,68.5,229.1,Madhya Maharashtra,0
25.5,60.8,2.6,699.2,19.1,113.0,469.9,97.2,99.0,Madhya Maharashtra,0
32.1,60.8,8.0,819.6,4.1,91.2,648.8,75.5,186.5,Assam & Meghalaya,0
27.7,58.7,8.0,408.5,0.0,62.8,267.9,77.8,77.6,Madhya Maharashtra,0
30.6,80.0,6.5,605.4,23.0,44.7,472.8,64.9,105.9,Kerala,0
21.8,67.7,8.0,1116.5,29.1,0.0,953.6,133.8,262.4,Madhya Maharashtra,1
27.9,66.8,1.7,440.1,23.9,54.9,310.6,50.7,101.8,Konkan & Goa,0
30.1,,4.0,556.3,0.0,50.2,455.7,50.4,119.3,Assam & Meghalaya,0
27.3,77.6,,1150.5,14.7,71.7,899.3,164.8,206.8,Konkan & Goa,0
30.7,55.1,6.4,911.4,0.0,55.4,736.9,119.1,176.0,Konkan & Goa,0
25.2,70.7,2.9,1588.5,40.5,50.4,1497.6,0.0,380.1,Coastal Andhra Pradesh,1
31.9,73.3,6.5,1517.9,3.7,6.6,1450.2,57.4,358.8,Assam & Meghalaya,1
35.0,86.3,7.7,717.7,38.8,31.8,639.6,7.5,178.7,Konkan & Goa,0
,54.3,6.4,1217.6,34.2,74.3,1067.1,42.0,236.2,Coastal Andhra Pradesh,0
25.4,33.8,5.6,1242.8,6.5,111.5,1124.8,0.0,251.3,Coastal Andhra Pradesh,0
32.1,72.2,3.0,855.4,3.0,57.1,720.8,74.5,183.8,Assam & Meghalaya,0
32.5,91.6,3.3,580.7,25.3,69.8,451.3,34.3,103.0,East Rajasthan,0
25.2,84.9,7.5,1074.6,7.3,88.6,896.3,82.4,211.5,Vidarbha,0
25.5,72.5,6.6,920.3,21.5,35.7,848.1,15.0,176.7,Kerala,0
26.0,64.1,4.9,936.4,12.8,71.0,769.3,83.3,192.7,Vidarbha,0
22.3,79.7,4.2,1133.9,0.0,37.8,1032.7,63.4,257.1,Madhya Maharashtra,0
23.8,58.3,0.9,900.8,0.0,85.9,674.8,140.1,181.8,Kerala,1
23.5,75.7,,778.8,23.4,64.5,554.4,136.5,140.0,Madhya Maharashtra,0
24.3,76.1,8.0,1124.7,11.6,69.0,932.7,111.4,230.5,Konkan & Goa,1
26.9,82.7,,1130.9,11.7,36.5,1015.8,66.9,277.5,Bihar,1
27.8,100.0,5.4,818.0,30.4,81.2,547.0,159.4,110.5,Assam & Meghalaya,0
32.4,74.7,7.0,1356.4,37.6,122.5,1178.4,17.9,305.3,Kerala,0
23.5,63.9,2.5,438.5,15.9,29.8,368.9,23.9,58.8,Kerala,0
30.4,69.7,5.4,867.9,14.9,49.8,726.6,76.6,164.9,Konkan & Goa,0
26.3,48.8,6.9,1087.2,27.5,66.9,822.6,170.2,181.4,East Rajasthan,0
26.8,61.7,5.0,864.6,0.0,83.6,709.1,71.9,192.9,Coastal Andhra Pradesh,0
29.4,65.1,8.0,869.7,23.3,43.2,730.5,72.7,181.3,Konkan & Goa,0
23.1,63.7,1.7,1511.9,28.3,0.0,1461.3,22.3,365.1,Gangetic West Bengal,1
28.3,71.8,7.1,893.5,30.2,100.8,644.7,117.8,139.0,Coastal Andhra Pradesh,0
27.6,60.1,4.7,1833.3,0.0,82.8,1632.4,118.1,402.1,Assam & Meghalaya,1
28.7,83.5,6.5,1159.0,8.6,7.7,1031.1,111.6,242.5,Coastal Andhra Pradesh,1
28.0,70.0,5.9,1031.0,6.8,41.8,927.6,54.8,239.6,East Rajasthan,0
35.6,69.9,3.5,1223.1,21.5,107.0,1042.9,51.7,240.9,Coastal Andhra Pradesh,1
24.8,66.1,5.5,1817.9,27.2,103.4,1659.0,28.3,441.3,Assam & Meghalaya,1
,71.9,1.3,816.0,42.5,88.2,601.9,83.4,117.0,East Rajasthan,0
24.8,79.9,6.2,668.0,12.6,54.7,563.9,36.8,124.8,Vidarbha,0
25.1,59.6,5.6,781.4,12.5,62.5,673.5,32.9,201.9,Kerala,0
24.8,62.1,6.3,1066.0,37.2,56.1,909.6,63.1,218.7,Kerala,1
31.2,66.4,7.1,560.9,24.4,93.8,382.3,60.4,69.3,Madhya Maharashtra,0
32.0,53.8,5.7,1037.9,39.0,33.7,906.7,58.5,231.1,Vidarbha,0
25.0,60.2,5.3,1566.9,24.3,35.8,1408.1,98.7,342.5,Vidarbha,1
24.1,64.3,,1121.5,2.6,90.3,945.4,83.2,219.6,Coastal Andhra Pradesh,1
28.6,80.5,3.6,939.4,0.0,58.7,812.2,68.5,181.1,Kerala,0
25.1,73.2,7.4,903.3,0.0,101.4,714.6,87.3,234.0,Assam & Meghalaya,0
29.2,72.3,7.9,1279.7,29.9,39.9,1169.6,40.3,287.4,Coastal Karnataka,0
27.7,80.2,4.5,832.7,37.8,58.4,652.3,84.2,124.6,Coastal Karnataka,0
21.7,68.4,5.1,1619.9,47.7,32.3,1453.9,86.0,393.3,East Rajasthan,1
32.4,74.7,3.2,1592.7,32.6,60.2,1480.0,19.9,382.2,Kerala,1
33.3,68.8,7.3,1149.8,37.4,15.6,977.0,119.8,228.9,Kerala,1
24.9,73.2,6.3,997.9,11.3,45.4,896.5,44.7,205.5,Coastal Karnataka,0
25.6,63.0,8.0,1312.4,2.7,16.9,1209.2,83.6,315.8,Kerala,0
28.0,40.7,3.2,1468.6,32.8,80.8,1228.4,126.6,302.2,Coastal Andhra Pradesh,1
28.2,68.4,4.2,883.0,26.3,81.5,658.2,117.0,126.0,Gangetic West Bengal,1
29.3,87.1,5.5,853.1,21.6,8.1,2789.7857645189947,81.4,221.2,Bihar,1
34.0,81.1,6.3,694.6,25.8,100.0,503.3,65.5,117.1,Vidarbha,0
26.4,81.6,4.6,1300.3,24.8,134.9,1022.7,117.9,285.6,Madhya Maharashtra,1
24.2,84.8,3.3,1307.7,39.3,61.4,1100.0,107.0,300.6,East Rajasthan,1
22.2,71.1,6.8,630.5,39.4,40.8,495.0,55.3,103.7,Gangetic West Bengal,0
24.4,72.4,6.4,984.5,28.2,144.7,763.4,48.2,211.5,Coastal Karnataka,0
26.9,62.6,3.2,548.9,32.7,20.4,495.8,0.0,110.9,Vidarbha,0
33.3,66.2,7.7,804.9,27.7,60.6,630.4,86.2,120.3,Kerala,0
25.2,77.4,7.3,1220.5,13.1,65.4,1065.3,76.7,257.8,Madhya Maharashtra,0
27.8,84.4,5.3,937.1,31.3,100.4,680.0,125.4,178.0,Kerala,0
26.9,68.3,5.2,975.0,0.0,70.8,809.8,94.4,193.2,Assam & Meghalaya,0
31.2,64.6,6.1,626.0,35.8,45.0,411.8,133.4,96.8,Assam & Meghalaya,0
35.8,70.0,3.3,1041.8,2.1,31.5,956.1,52.1,261.9,Madhya Maharashtra,1
,77.2,5.1,1086.2,24.3,49.7,886.7,125.5,223.8,Madhya Maharashtra,0
25.3,52.7,0.7,777.2,7.3,29.8,681.3,58.8,153.5,Coastal Karnataka,0
30.7,42.4,6.8,1044.1,28.3,61.4,843.3,111.1,224.9,Madhya Maharashtra,0
29.4,63.4,1.9,1038.3,19.5,43.1,954.1,21.6,242.5,Coastal Andhra Pradesh,1
33.5,55.4,8.0,760.1,0.0,15.2,655.5,89.4,113.4,Kerala,0
29.0,63.9,4.3,581.7,26.3,97.7,457.1,0.6,122.8,Gangetic West Bengal,0
25.7,68.2,4.6,1567.4,11.3,45.1,1441.7,69.3,368.3,Konkan & Goa,1
29.1,64.6,3.7,862.8,33.2,22.0,710.0,97.6,177.9,Madhya Maharashtra,0
30.9,,4.4,1005.2,20.0,55.0,871.0,59.2,235.6,East Rajasthan,0
29.9,73.9,7.8,1329.3,25.9,62.1,1203.3,38.0,287.4,Assam & Meghalaya,1
28.8,73.6,0.0,2085.7,5.6,7.6,1958.7,113.8,496.4,Coastal Andhra Pradesh,1
30.7,77.5,7.6,683.7,11.2,69.9,526.7,75.9,100.3,Vidarbha,1
31.1,56.3,5.7,1137.0,13.1,28.6,1034.9,60.4,266.9,Konkan & Goa,0
31.8,82.5,2.6,913.6,32.9,111.3,687.7,81.7,211.0,Gangetic West Bengal,1
29.3,69.1,2.8,1044.8,45.2,75.7,738.4,185.5,164.7,Konkan & Goa,0
26.4,78.0,8.0,865.9,7.9,48.0,683.9,126.1,155.8,Madhya Maharashtra,0
27.5,57.1,3.1,762.6,36.2,37.6,562.3,126.5,126.4,Coastal Karnataka,0
31.2,51.4,2.7,1041.9,0.0,56.9,887.6,97.4,224.5,Assam & Meghalaya,0
24.1,79.8,7.3,624.8,2.1,78.4,457.6,86.7,93.1,Assam & Meghalaya,0
28.3,74.5,5.7,1248.8,5.6,59.2,1184.0,0.0,304.4,Vidarbha,0
25.6,,3.1,1022.8,0.0,53.5,916.5,52.8,246.1,Coastal Karnataka,0
27.1,59.6,5.4,1149.3,0.0,61.8,1026.7,60.8,267.4,Kerala,1
31.5,83.5,2.9,833.2,26.2,41.9,760.1,5.0,154.7,Bihar,0
27.7,55.7,7.2,890.0,16.8,49.7,789.8,33.7,217.4,Coastal Andhra Pradesh,0
27.2,89.7,7.1,1012.8,25.7,0.0,986.3,0.8,265.3,Assam & Meghalaya,1
22.2,59.2,6.1,748.9,30.4,89.2,550.8,78.5,154.3,East Rajasthan,0
29.6,77.7,5.7,998.4,24.0,69.0,792.6,112.8,205.6,Assam & Meghalaya,0
29.3,66.1,8.0,833.1,29.9,36.8,642.1,124.3,164.9,Konkan & Goa,0
34.6,77.2,5.0,865.4,19.0,117.0,632.8,96.6,178.8,Assam & Meghalaya,0
25.9,63.5,2.6,373.3,2.2,62.6,267.0,41.5,105.2,Assam & Meghalaya,0
27.8,68.0,5.9,1369.3,35.9,28.9,1301.8,2.7,306.4,Bihar,1
27.9,70.5,8.0,800.6,11.2,85.7,694.0,9.7,195.1,Bihar,0
32.5,58.0,3.0,1356.1,6.0,71.9,1249.0,29.2,310.5,Gangetic West Bengal,1
26.7,78.9,4.3,1354.1,17.3,71.8,1220.6,44.4,302.6,Kerala,1
28.0,63.8,5.8,641.3,6.3,47.2,514.2,73.6,97.8,East Rajasthan,0
29.1,67.3,4.9,700.1,13.7,73.5,573.5,39.4,137.7,Assam & Meghalaya,0
27.7,58.1,3.0,1839.1,25.2,52.1,1668.2,93.6,397.1,Assam & Meghalaya,1
25.4,39.3,7.2,1597.9,25.2,76.7,1425.3,70.7,347.0,Coastal Andhra Pradesh,1
27.7,67.7,8.0,980.3,6.5,2.9,890.5,80.4,200.7,Bihar,0
30.8,99.0,5.4,1162.5,12.7,47.0,977.2,125.6,235.3,East Rajasthan,1
23.4,79.4,3.2,891.3,36.1,111.7,710.7,32.8,169.6,Vidarbha,0
27.5,69.8,1.9,1190.8,27.4,37.0,1029.7,96.7,259.4,Gangetic West Bengal,0
24.5,66.8,5.5,857.2,51.1,41.9,684.8,79.4,138.9,Kerala,0
31.2,70.3,7.2,441.3,37.7,46.6,290.3,66.7,43.7,Coastal Karnataka,0
21.7,76.6,6.0,679.7,37.2,23.6,503.5,115.4,133.1,Kerala,0
25.0,55.8,5.0,1021.5,0.0,0.0,906.3,115.2,210.6,Konkan & Goa,0
28.3,83.4,3.8,687.4,31.5,53.1,560.7,42.1,161.7,Assam & Meghalaya,0
32.5,78.6,2.8,1035.8,19.2,64.1,879.8,72.7,224.5,Gangetic West Bengal,0
26.8,78.6,6.7,738.9,11.7,58.4,577.6,91.2,156.5,Konkan & Goa,0
25.1,75.3,6.8,812.6,22.5,55.7,665.3,69.1,194.5,East Rajasthan,0
33.6,70.2,1.9,1354.8,34.2,61.3,1155.9,103.4,282.8,Coastal Karnataka,1
21.9,78.1,8.0,1183.6,27.5,90.7,974.2,91.2,232.1,Bihar,1
19.3,77.1,6.1,1111.5,6.8,54.3,897.1,153.3,241.7,Gangetic West Bengal,0
28.5,65.8,7.8,1256.4,31.1,42.8,1163.7,18.8,301.1,Gangetic West Bengal,0
25.2,63.1,2.3,1181.3,10.4,51.6,1044.2,75.1,257.3,Assam & Meghalaya,1
23.4,71.2,2.3,1478.4,23.3,77.4,1334.0,43.7,361.3,Madhya Maharashtra,1
29.5,88.6,4.7,984.0,15.4,102.4,762.0,104.2,186.3,Gangetic West Bengal,1
27.9,55.1,6.0,844.3,16.7,41.2,771.1,15.3,193.4,Coastal Andhra Pradesh,0
25.0,52.4,8.0,698.1,31.5,63.0,509.7,93.9,127.8,Coastal Karnataka,0
22.5,72.0,6.4,900.7,4.4,70.2,771.3,54.8,174.1,Coastal Karnataka,1
30.1,70.6,4.5,1319.4,49.2,30.2,1189.4,50.6,298.9,Coastal Andhra Pradesh,1
29.3,72.1,2.9,1372.7,0.0,60.6,1290.0,22.1,350.4,Vidarbha,1
26.7,72.9,7.5,1276.5,11.0,16.0,1188.1,61.4,305.9,Coastal Andhra Pradesh,1
,67.3,3.1,517.6,25.6,6.9,361.7,123.4,91.0,Coastal Andhra Pradesh,0
23.3,,8.0,1403.7,28.8,71.0,1224.9,79.0,303.0,Coastal Karnataka,0
21.7,50.8,4.4,520.5,18.5,48.5,348.4,105.1,93.7,Kerala,0
24.6,60.1,8.0,1401.2,19.1,66.1,1169.4,146.6,307.3,Coastal Karnataka,1
26.8,68.8,6.4,966.0,26.2,59.5,789.7,90.6,209.6,Madhya Maharashtra,0
27.9,50.3,4.7,1215.6,16.5,30.7,1110.8,57.6,271.1,Assam & Meghalaya,1
26.2,67.9,4.0,698.5,40.9,58.6,500.3,98.7,131.6,Konkan & Goa,0
28.2,89.9,4.3,1365.2,32.6,23.0,1251.4,58.2,322.4,Kerala,1
22.6,70.3,5.9,655.1,33.1,101.7,460.5,59.8,95.0,Bihar,0
,72.8,5.2,743.5,5.5,19.3,699.5,19.2,178.2,Konkan & Goa,0
26.7,54.9,3.8,790.6,18.8,54.1,600.6,117.1,106.9,Assam & Meghalaya,0
30.9,62.6,4.7,482.5,15.5,28.7,373.7,64.6,103.1,Madhya Maharashtra,0
28.2,65.5,5.2,1097.7,4.9,77.1,928.4,87.3,245.3,Madhya Maharashtra,0
28.6,66.2,0.7,1555.9,25.4,50.1,1441.8,38.6,375.4,Bihar,1
29.0,85.4,5.9,1853.8,11.9,44.4,1700.1,97.4,417.1,Kerala,1
28.6,76.7,3.0,1094.0,29.8,85.6,929.1,49.5,238.5,Vidarbha,0
29.2,56.7,2.7,1374.1,3.9,60.9,1235.0,74.3,337.2,Coastal Andhra Pradesh,1
31.7,73.0,1.6,1206.0,45.8,75.5,969.6,115.1,270.7,Kerala,0
27.7,76.0,1.4,1198.5,6.6,30.6,4866.144809101838,111.6,261.8,Vidarbha,1
29.5,83.7,2.3,917.7,23.3,17.9,797.4,79.1,202.1,Madhya Maharashtra,0
26.7,89.0,3.6,1062.9,31.9,63.2,958.5,9.3,261.8,Coastal Karnataka,0
32.0,57.8,8.0,1322.7,11.4,50.4,1061.2,199.7,235.3,Assam & Meghalaya,0
24.6,60.3,3.9,987.9,32.8,78.8,726.5,149.8,175.2,Bihar,0
33.3,54.9,5.4,1044.9,1.6,57.6,876.8,108.9,245.9,Assam & Meghalaya,0
26.9,67.2,5.8,1040.4,41.8,66.2,882.5,49.9,240.1,East Rajasthan,1
22.0,75.6,5.3,1254.9,20.2,11.3,1147.9,75.5,294.4,East Rajasthan,1
27.4,81.8,4.8,766.3,11.1,116.7,580.2,58.3,114.9,Kerala,0
24.6,69.1,2.6,1085.7,15.5,55.1,884.5,130.6,220.1,Madhya Maharashtra,1
29.9,66.2,7.9,1677.1,32.1,80.9,1473.6,90.5,356.6,Madhya Maharashtra,0
24.7,71.8,8.0,1343.9,11.2,34.9,1249.2,48.6,318.9,Coastal Andhra Pradesh,1
25.4,60.0,1.6,1444.0,8.8,69.2,1304.8,61.2,310.0,Coastal Andhra Pradesh,1
20.4,95.1,3.0,1069.7,16.7,20.9,907.3,124.8,206.3,Coastal Andhra Pradesh,1
25.4,50.7,4.4,1216.2,2.3,73.6,996.3,144.0,207.8,Coastal Karnataka,0
18.5,72.2,3.1,1438.4,47.3,49.3,1200.7,141.1,324.6,Konkan & Goa,0
21.5,94.3,6.0,1550.8,11.5,60.9,1368.1,110.3,334.0,Gangetic West Bengal,1
29.7,70.1,3.5,497.8,32.5,80.9,314.5,69.9,81.8,Konkan & Goa,1
29.8,67.7,8.0,551.5,23.1,23.0,505.4,0.0,126.3,Assam & Meghalaya,0
28.5,65.7,7.4,1429.4,5.2,39.5,1292.8,91.9,301.9,Konkan & Goa,1
23.6,67.8,5.4,990.4,19.9,73.7,816.9,79.9,179.0,Coastal Karnataka,0
26.8,86.5,7.1,938.8,31.8,122.9,698.5,85.6,154.5,Assam & Meghalaya,0
27.0,43.5,7.2,679.1,17.2,55.9,523.8,82.2,116.5,Konkan & Goa,0
22.9,88.4,3.9,876.0,37.9,77.7,733.5,26.9,190.7,Coastal Karnataka,0
32.3,,3.4,673.7,35.3,56.8,479.3,102.3,103.9,Gangetic West Bengal,0
30.1,66.8,5.2,1784.7,33.8,118.3,1527.3,105.3,416.8,Konkan & Goa,1
26.2,64.8,6.7,1021.3,13.1,7.6,893.3,107.3,243.9,Coastal Karnataka,0
27.1,77.1,5.3,1067.1,3.8,62.8,882.6,117.9,236.8,Coastal Andhra Pradesh,0
27.7,50.8,1.8,1202.6,10.8,11.2,1076.4,104.2,266.7,Madhya Maharashtra,0
19.9,75.5,3.4,1275.2,22.9,0.0,1188.7,63.6,327.5,Coastal Andhra Pradesh,1
26.1,94.3,4.9,1358.1,28.2,68.9,1183.8,77.2,291.6,Madhya Maharashtra,1
24.6,53.6,4.8,1369.9,0.0,64.2,1222.1,83.6,304.9,Bihar,0
23.5,72.3,8.0,866.4,19.9,51.5,710.7,84.3,181.1,Bihar,0
26.0,62.1,2.2,1009.7,22.4,56.8,810.6,119.9,216.7,Bihar,0
33.3,75.1,6.0,1405.1,15.8,152.9,1130.7,105.7,295.4,Gangetic West Bengal,0
29.2,70.2,8.0,996.6,39.4,52.3,741.8,163.1,175.9,Coastal Andhra Pradesh,0
25.0,62.3,8.0,1168.4,26.3,75.3,898.5,168.3,214.0,Madhya Maharashtra,1
29.0,75.9,4.2,1183.0,39.7,40.5,1019.6,83.2,267.7,Coastal Karnataka,1
31.9,91.7,6.0,1221.3,16.8,68.9,1135.6,0.0,298.2,Assam & Meghalaya,1
30.2,67.7,6.1,583.2,34.1,52.9,366.7,129.5,83.8,Coastal Karnataka,0
27.2,78.6,5.4,1265.0,44.5,47.7,1114.4,58.4,246.9,Assam & Meghalaya,0
24.7,54.5,4.8,1032.1,39.7,114.6,829.9,47.9,203.3,East Rajasthan,0
29.4,58.5,5.9,1275.2,3.6,95.3,1112.2,64.1,290.5,Coastal Karnataka,0
28.4,75.7,0.0,1275.5,16.2,64.1,1133.1,62.1,319.4,Konkan & Goa,1
30.1,87.8,6.4,1501.7,14.8,0.0,1382.4,104.5,321.6,Konkan & Goa,1
29.2,74.3,5.3,1400.1,27.3,49.2,1306.0,17.6,318.0,Kerala,0
30.7,66.2,4.6,1512.3,30.3,141.1,1304.0,36.9,318.2,Coastal Andhra Pradesh,0
25.1,70.0,8.0,1487.3,7.4,53.1,1333.1,93.7,360.4,Assam & Meghalaya,0
31.6,55.0,3.7,1206.4,21.0,93.1,987.4,104.9,246.2,Assam & Meghalaya,0
27.7,77.3,4.2,1118.7,0.0,103.3,909.7,105.7,209.3,Coastal Andhra Pradesh,1
34.3,80.6,8.0,1318.5,41.6,66.6,1161.8,48.5,301.6,Gangetic West Bengal,0
24.6,64.6,3.3,1207.5,12.3,34.7,1119.6,40.9,271.8,Kerala,0
33.1,64.4,3.9,887.8,20.8,0.0,807.3,59.7,177.3,Gangetic West Bengal,0
27.7,73.2,4.7,1206.9,15.4,80.5,1021.4,89.6,237.5,Gangetic West Bengal,0
24.7,64.8,6.7,1101.7,37.2,35.6,889.5,139.4,257.1,Gangetic West Bengal,0
25.3,69.2,5.4,709.1,0.0,65.3,643.8,0.0,168.6,Coastal Andhra Pradesh,0
25.9,,2.4,1400.6,19.8,22.5,1287.1,71.2,323.9,Gangetic West Bengal,0
28.5,67.0,3.9,1013.7,18.4,52.0,916.6,26.7,224.2,Konkan & Goa,0
28.8,65.7,,1602.7,13.2,61.0,1514.6,13.9,384.5,Bihar,1
25.0,62.2,4.8,645.1,45.9,68.1,412.4,118.7,108.7,East Rajasthan,0
